Name,Age,Overall,Club,Value(£),Age_Group,Overall_Group,Log_Value,Age_Rating
D. Sow,0.40352997690565884,2.0694777190470215,Eintracht Frankfurt,3.030231973366397,26-30,81-90,1.6803590192699034,1.1530886652862264
19 Ramires,1.6967200432292615,2.0694777190470215,Jiangsu FC,0.9259229552014673,31-35,81-90,1.2340681602703496,2.23369984344329
M. Mount,-0.027533378535542063,2.5672352620374284,Chelsea,6.983782249918689,21-25,81-90,2.0350985813271754,1.0000020817139756
F. Coquelin,1.6967200432292615,2.0694777190470215,Villarreal CF,1.8824270543673445,31-35,81-90,1.4903391951940186,2.23369984344329
Danilo,1.481188365508661,2.0694777190470215,Juventus,1.9461939943117363,31-35,81-90,1.503239796100402,2.0535979804171127
D. van de Beek,0.40352997690565884,1.9450383332994197,Manchester United,2.902698093477613,26-30,71-80,1.6627437300203396,1.096806833090546
J. Vardy,2.5588467541116633,2.6916746477850304,Leicester City,2.5838633937556543,36-40,81-90,1.615491432085552,3.348080120917762
S. Fofana,0.8345933323468597,2.193917104794623,Racing Club de Lens,3.1577658532551807,26-30,81-90,1.6973217383503427,1.5740767701099159
L. Provod,0.40352997690565884,1.4472807903090128,SK Slavia Praha,0.6708551954239,26-30,71-80,1.1318815743352797,0.8716795043078244
V. van Dijk,1.481188365508661,3.313871576523039,Liverpool,12.148904385414424,31-35,91-100,2.279264758473575,2.728979966765278
Gerson,0.40352997690565884,1.820598947551818,Olympique de Marseille,2.1374948141449117,26-30,71-80,1.5398946376033784,1.0405250008948657
R. Aliendro,1.6967200432292615,1.5717201760566144,River Plate,0.41578743564633286,31-35,71-80,1.000140156395131,1.9545419557527153
18 Gabi,2.1277833986704624,2.193917104794623,Atlético de Madrid,0.9896898951458591,31-35,81-90,1.2564111782347722,2.6681955879939427
Otávio,0.8345933323468597,2.318356490542225,FC Porto,3.7954352526990984,26-30,81-90,1.773822662614335,1.6348611488812506
K. Volland,1.2656566877880606,2.318356490542225,AS Monaco,3.5403674929215314,26-30,81-90,1.7447372663543634,2.004069968084914
M. Pašalić,0.8345933323468597,2.193917104794623,Atalanta,3.1577658532551807,26-30,81-90,1.6973217383503427,1.5740767701099159
R. Kent,3.6365051427146655,2.4427958762898268,AFC Richmond,-0.3494158436863688,41-50,81-90,-6.1470699070995485,4.124769405218152
Álex Berenguer,0.6190616546262593,2.0694777190470215,Athletic Club de Bilbao,2.5838633937556543,26-30,81-90,1.615491432085552,1.3331905283124037
Gedson Fernandes,-0.027533378535542063,1.6961595618042162,Beşiktaş JK,1.5635923546453854,21-25,71-80,1.4197472717889403,0.6375470823737939
L. Torreira,0.6190616546262593,2.193917104794623,Galatasaray SK,3.285299733143964,26-30,81-90,1.713678514848229,1.3917236337959114
A. Zambo Anguissa,0.6190616546262593,2.193917104794623,Napoli,3.285299733143964,26-30,81-90,1.713678514848229,1.3917236337959114
R. Karsdorp,0.8345933323468597,2.0694777190470215,Roma,2.4563295138668706,26-30,81-90,1.5951351451298474,1.513292391338581
M. de Roon,1.6967200432292615,2.0694777190470215,Atalanta,1.5635923546453854,31-35,81-90,1.4197472717889403,2.23369984344329
